date,momentum,value,size,lowvol
2022-05-31,0.029182506112231964,0.042013315951530676,-0.020958183726641873,0.0051614944848526415
2022-06-30,0.034577386607323554,-0.01933919111826625,-0.0074547053603758046,0.1004634151990835
2022-07-31,-0.07233328359161809,-0.05256029855442164,0.008984916457406678,-0.11169498160409191
2022-08-31,0.05204669199073571,0.011061568285727685,0.0048824019338875035,-0.020202947401602996
2022-09-30,0.03445618587607628,0.01140711861298295,-0.005982828339024929,0.036335189133826995
2022-10-31,0.03472624848345744,0.009041080396388457,-0.027080599214552414,-0.018705610999021793
2022-11-30,-0.021855928510555164,0.018743150624473327,0.0009440028963561276,-0.015834980229516078
2022-12-31,0.035875500509660485,0.014470271695048505,0.007221125651887053,0.05998781957728598
2023-01-31,-0.14858111803533358,-0.025222783775924393,0.0012932212346193628,-0.16836657912794978
2023-02-28,7.984602472697888e-05,-0.021956260807665478,-0.014880512217977784,-0.018455817002088294
2023-03-31,-0.0030200894985325816,-0.07977955694969716,-0.03858711223337292,-0.003139811969652337
2023-04-30,0.011928700236035386,0.029658225825307954,0.004650643409590739,0.048745840388196016
2023-05-31,-0.0002490336399289172,-0.10309172849130854,-0.05481239869223036,-0.07927720823973368
2023-06-30,-0.006238540171271914,-0.025144495736246664,0.026638588406748487,-0.07236596631383962
2023-07-31,-0.033369973487698795,0.007494727725491292,0.002760480018830759,-0.07955370679902139
2023-08-31,0.023608125756358223,-0.03791489681838306,-0.023228994370375143,0.014051773000866487
2023-09-30,-0.00269699070840234,0.01128112740074022,-0.02025247354069705,0.027358166543843807
2023-10-31,-0.008273919011257298,-0.011024947268242526,-0.04104556431255458,0.051686498046239954
2023-11-30,0.03726146841638718,-0.024019373809462563,-2.9374009005045387e-05,-0.07127598452885796
2023-12-31,-0.048512224494850126,-0.003967468629700363,0.028705862471362933,-0.09704938032108527
2024-01-31,0.06251603818076881,-0.016858194094508023,-0.03269958784189882,0.033915987256115054
2024-02-29,0.11084768621508395,-0.06412482505762936,-0.01261486143157066,-0.04043465519178932
2024-03-31,-0.003822423983061096,0.014245197725130831,0.0006191844732477414,-0.020344750544386496
2024-04-30,-0.033991669636467194,-0.008320220448869063,-0.02536505819018036,0.017431108746861317
2024-05-31,0.016686985915471582,-0.022202441018839184,-0.030907748894558024,-0.018060018559636362
2024-06-30,0.027281779696172234,-0.04827483505946735,-0.0428499228053239,-0.014441846273130048
2024-07-31,-0.034066572704309746,0.038145291925311645,0.035725701797952605,0.04130580017790879
2024-08-31,0.030980392763593056,-0.018855703581584497,-0.00986699642122785,0.03979978812107669
2024-09-30,0.013641404035657018,-0.038239707052635186,-0.0050048146626515515,-0.044647951184641495
2024-10-31,0.03220807072891848,-0.01658523777534751,-0.04007172823688132,-0.004743363904337045
2024-11-30,0.058105670982068924,-0.0477978703454468,-0.017163976821613393,-0.05551184819816042
2024-12-31,-0.009099784364848325,-0.02392745994211016,-0.021071680715474654,-0.0033810821391804732
2025-01-31,0.053870695265506426,-0.01584609262373906,-0.03385433633518605,-0.033070755060082946
2025-02-28,-0.030062286512671052,0.013913943102478668,-0.03511098143763845,0.10779675270537936
2025-03-31,-0.058937305654433794,0.04733506042196804,0.007528087584480654,0.07993185010290325
2025-04-30,0.0412865154922831,-0.06944170541001818,-0.04142204580264046,-0.03920539138722569
2025-05-31,0.002292921004537471,-0.06162242258309872,-0.023990692282564743,-0.11060859438621677
2025-06-30,-0.03827934853622854,-0.021024493695658293,-0.037597132186698606,-0.11101988921266107
2025-07-31,0.008356138473018146,-0.041247642367012866,-0.0014899570422382737,-0.04824603210235768
2025-08-31,-0.03327678617055999,0.035411351276184194,-0.0062811858984318965,-0.034917183378621264
2025-09-30,0.08817126246208076,-0.05301425444156089,-0.06270172131839029,-0.038887720192400804
2025-10-31,0.008445732223130617,-0.04881759032953551,-0.06617552848754352,-0.07197267326633498
2025-11-30,0.0026924399552814924,0.023871484187854373,0.0004962163634621396,0.024173948770377096
2025-12-31,-0.004728105010395988,-0.0022214216385854184,-0.013642508126030227,-0.04796291988631798
2026-01-31,0.05650093269882239,-0.022838851895882962,-0.026725855876434085,-0.0193767271724268
2026-02-28,0.03301495140636291,-0.026285955907499374,0.009388136816856836,-0.006452748359779485
2026-03-31,0.009992160150425838,-0.0060213843262962585,-0.03765353370113439,0.011006742983887596
2026-04-30,0.01907098743593581,-0.00917982714252436,-0.008463692030955467,-0.006477397826911766
